Week of 2012-04-23 to 2012-04-29
guyguy achieved 67.0 minutes on Generator Room with aTastyCookie, MudFlap, Wolf (PB!)
Kitten achieved 39.0 minutes on Street with guyguy, OK, seamonkey (PB!)
Licksore achieved 59.0 minutes on Generator Room with DaFp, guyguy, WaRLo
MudFlap achieved 67.0 minutes on Generator Room with aTastyCookie, guyguy, Wolf (PB!)
MudFlap achieved 27.5 minutes on Port (S) with Aaron, Domino, sauce (PB!)
notallthatfat achieved 32.0 minutes on Construction Site with Biggie MX, Dipity, guyguy (PB!)
notallthatfat achieved 25.5 minutes on Runway with Biggie MX, guyguy, OK (PB!)
notallthatfat achieved 49.0 minutes on Warehouse with Biggie MX, guyguy, OK (PB!)
notallthatfat achieved 34.0 minutes on Farmhouse with Biggie MX, Dipity, guyguy (PB!)
OK achieved 27.5 minutes on Bridge (CC) with guyguy, NicNak, Wussy (PB!)
OK achieved 25.5 minutes on Runway with Biggie MX, guyguy, notallthatfat (PB!)
OK achieved 49.0 minutes on Warehouse with Biggie MX, guyguy, notallthatfat (PB!)
sauce achieved 27.5 minutes on Port (S) with Aaron, Domino, MudFlap (PB!)
Wolf achieved 67.0 minutes on Generator Room with aTastyCookie, guyguy, MudFlap (PB!)
Week of 2012-05-14 to 2012-05-20
